# Pattern: eng<->chi
http://www.cas.gov.hk/eng/info/info_tgcentre.html<->http://www.cas.gov.hk/chi/info/info_tgcentre.html 1.000000
http://www.cas.gov.hk/eng/about/about_emergency.html<->http://www.cas.gov.hk/chi/about/about_emergency.html 1.000000
http://www.cas.gov.hk/eng/about/about_mission.html<->http://www.cas.gov.hk/chi/about/about_mission.html 1.000000
http://www.cas.gov.hk/eng/info/info_newsletter.html<->http://www.cas.gov.hk/chi/info/info_newsletter.html 1.000000
http://www.cas.gov.hk/eng/info/info_usefultel.html<->http://www.cas.gov.hk/chi/info/info_usefultel.html 1.000000
http://www.cas.gov.hk/eng/sitemap.html<->http://www.cas.gov.hk/chi/sitemap.html 1.000000
http://www.cas.gov.hk/eng/about/about_performance.html<->http://www.cas.gov.hk/chi/about/about_performance.html 1.000000
http://www.cas.gov.hk/eng/code.html<->http://www.cas.gov.hk/chi/code.html 1.000000
http://www.cas.gov.hk/eng/info/info_trainsafe.html<->http://www.cas.gov.hk/chi/info/info_trainsafe.html 1.000000
http://www.cas.gov.hk/eng/info/info_download.html<->http://www.cas.gov.hk/chi/info/info_download.html 1.000000
http://www.cas.gov.hk/eng/welcome.html<->http://www.cas.gov.hk/chi/welcome.html 1.000000
http://www.cas.gov.hk/eng/org/org_dept.html<->http://www.cas.gov.hk/chi/org/org_dept.html 1.000000
http://www.cas.gov.hk/eng/notice/notice_remove.html<->http://www.cas.gov.hk/chi/notice/notice_remove.html 1.000000
http://www.cas.gov.hk/eng/info/info_msar.html<->http://www.cas.gov.hk/chi/info/info_msar.html 1.000000
http://www.cas.gov.hk/eng/org/org_volunteer.html<->http://www.cas.gov.hk/chi/org/org_volunteer.html 1.000000
http://www.cas.gov.hk/eng/enquiry.html<->http://www.cas.gov.hk/chi/enquiry.html 1.000000
http://www.cas.gov.hk/eng/about/about_nonemergency.html<->http://www.cas.gov.hk/chi/about/about_nonemergency.html 1.000000
http://www.cas.gov.hk/eng/about/about_intro.html<->http://www.cas.gov.hk/chi/about/about_intro.html 1.000000
http://www.cas.gov.hk/eng/notice/notice_tender.html<->http://www.cas.gov.hk/chi/notice/notice_tender.html 1.000000
http://www.cas.gov.hk/eng/about/about_service.html<->http://www.cas.gov.hk/chi/about/about_service.html 1.000000
http://www.cas.gov.hk/eng/org/org_ccc.html<->http://www.cas.gov.hk/chi/org/org_ccc.html 1.000000
http://www.cas.gov.hk/eng/info/info_mountainsafe.html<->http://www.cas.gov.hk/chi/info/info_mountainsafe.html 1.000000
http://www.cas.gov.hk/eng/notice.html<->http://www.cas.gov.hk/chi/notice.html 1.000000
http://www.cas.gov.hk/eng/about/about_ordinance.html<->http://www.cas.gov.hk/chi/about/about_ordinance.html 1.000000
http://www.cas.gov.hk/eng/info/info_publications.html<->http://www.cas.gov.hk/chi/info/info_publications.html 1.000000
# Pattern: e<->c
http://www.cas.gov.hk/etext/notice/notice_important.html<->http://www.cas.gov.hk/ctext/notice/notice_important.html 1.000000
http://www.cas.gov.hk/etext/info/info_download.html<->http://www.cas.gov.hk/ctext/info/info_download.html 1.000000
http://www.cas.gov.hk/etext/notice/notice_tender.html<->http://www.cas.gov.hk/ctext/notice/notice_tender.html 1.000000
http://www.cas.gov.hk/etext/info/info_mountainsafe.html<->http://www.cas.gov.hk/ctext/info/info_mountainsafe.html 1.000000
http://www.cas.gov.hk/etext/info/info_newsletter.html<->http://www.cas.gov.hk/ctext/info/info_newsletter.html 1.000000
http://www.cas.gov.hk/etext/org/org_ccc.html<->http://www.cas.gov.hk/ctext/org/org_ccc.html 1.000000
http://www.cas.gov.hk/etext/about/about_nonemergency.html<->http://www.cas.gov.hk/ctext/about/about_nonemergency.html 1.000000
http://www.cas.gov.hk/etext/info/info_tgcentre.html<->http://www.cas.gov.hk/ctext/info/info_tgcentre.html 1.000000
http://www.cas.gov.hk/etext/notice/notice_remove.html<->http://www.cas.gov.hk/ctext/notice/notice_remove.html 1.000000
http://www.cas.gov.hk/etext/notice.html<->http://www.cas.gov.hk/ctext/notice.html 1.000000
http://www.cas.gov.hk/etext/about/about_intro.html<->http://www.cas.gov.hk/ctext/about/about_intro.html 1.000000
http://www.cas.gov.hk/etext/info/info_trainsafe.html<->http://www.cas.gov.hk/ctext/info/info_trainsafe.html 1.000000
http://www.cas.gov.hk/etext/about/about_mission.html<->http://www.cas.gov.hk/ctext/about/about_mission.html 1.000000
http://www.cas.gov.hk/etext/about/about_service.html<->http://www.cas.gov.hk/ctext/about/about_service.html 1.000000
http://www.cas.gov.hk/etext/enquiry.html<->http://www.cas.gov.hk/ctext/enquiry.html 1.000000
http://www.cas.gov.hk/etext/about/about_performance.html<->http://www.cas.gov.hk/ctext/about/about_performance.html 1.000000
http://www.cas.gov.hk/etext/info/info_msar.html<->http://www.cas.gov.hk/ctext/info/info_msar.html 1.000000
http://www.cas.gov.hk/etext/about/about_ordinance.html<->http://www.cas.gov.hk/ctext/about/about_ordinance.html 1.000000
http://www.cas.gov.hk/etext/welcome.html<->http://www.cas.gov.hk/ctext/welcome.html 1.000000
http://www.cas.gov.hk/etext/about/about_emergency.html<->http://www.cas.gov.hk/ctext/about/about_emergency.html 1.000000
http://www.cas.gov.hk/etext/org/org_volunteer.html<->http://www.cas.gov.hk/ctext/org/org_volunteer.html 1.000000
